Name,ID,Length
Q1067734,Q1067734,10
Adaykomdon,Q1087904,10
Q1089746,Q1089746,10
Q1089756,Q1089756,10
Q1089787,Q1089787,10
Q1090160,Q1090160,10
Q1090192,Q1090192,10
Q1090199,Q1090199,10
Q1090252,Q1090252,10
Q1090327,Q1090327,10
Q1090419,Q1090419,10
Q1090761,Q1090761,10
Q1090824,Q1090824,10
Q1090874,Q1090874,10
Q1090879,Q1090879,10
Q1090926,Q1090926,10
Q1091112,Q1091112,10
Q1091129,Q1091129,10
Q1091182,Q1091182,10
Q1091323,Q1091323,10
Q1091331,Q1091331,10
Q1091437,Q1091437,10
Q1091581,Q1091581,10
Savaleyevka,Q1091666,10
Q1091849,Q1091849,10
Q1091906,Q1091906,10
Verkhniy Chermoz,Q1092131,10
Q1092154,Q1092154,10
Q1092209,Q1092209,10
Q1092297,Q1092297,10
Q1092412,Q1092412,10
Q1092519,Q1092519,10
Q1092690,Q1092690,10
Q1092721,Q1092721,10
Q1092776,Q1092776,10
Q1093038,Q1093038,10
Q1093137,Q1093137,10
Q1093348,Q1093348,10
Q1093507,Q1093507,10
Pismyanka,Q1093519,10
Q1093589,Q1093589,10
Q1093609,Q1093609,10
Q1093637,Q1093637,10
Q1093704,Q1093704,10
Q1093810,Q1093810,10
Q1093907,Q1093907,10
Q1093924,Q1093924,10
Q1094050,Q1094050,10
Q1094217,Q1094217,10
Q1094311,Q1094311,10
Q1094314,Q1094314,10
Kallang River,Q1094417,10
Q1094498,Q1094498,10
Q1094571,Q1094571,10
Q1094636,Q1094636,10
Q1094712,Q1094712,10
Q1094833,Q1094833,10
Q1094881,Q1094881,10
Q1094962,Q1094962,10
Q1095005,Q1095005,10
Q1095016,Q1095016,10
Q1095039,Q1095039,10
Q1095081,Q1095081,10
Q1095085,Q1095085,10
Q1095162,Q1095162,10
Q1095303,Q1095303,10
Q1095531,Q1095531,10
Q1095619,Q1095619,10
Q1095674,Q1095674,10
Alanka,Q1095687,10
Q1096030,Q1096030,10
