Name,ID
gud ,Q10510330
gudn,Q10510330
canal de castilla,Q1032560
chattahoochee river,Q1068297
iau,Q10398708
balingsholmsn,Q10425276
djupn,Q10474865
follbrinkstrmmen,Q10497515
fullerstan,Q10499930
unija,Q10501492
uoja,Q10501734
gammelstrmmen,Q10502602
orlngsn,Q10611593
sdern,Q10688851
tumban,Q10706200
vendelsn,Q10713948
agluona,Q10719236
dranbcken,Q10726213
alanga,Q10729161
alanta (virinta),Q10729166
alantas,Q10729168
lavanta,Q10788047
bel,Q10964792
grda,Q10981701
nopaitys,Q11025338
lepacka rivulet,Q11113280
ber,Q11138673
bikava,Q11147975
juoda,Q11258669
rao he,Q11327386
fuyang river,Q11334287
gruszkwka,Q11702664
riuet del convent,Q11703247
escudo,Q11703413
janwka,Q11720650
jawornik,Q11723416
karpnicki potok,Q11736529
kopanica,Q11743431
krupwka,Q11748476
kobia,Q11752104
komnica,Q11752144
lubiatwka,Q11763023
miedziany potok,Q11780122
mioszowski potok,Q11784112
kosierska mynwka,Q11788232
otuczyna,Q11801180
parowa,Q11811748
paszwka,Q11813439
raba,Q11833164
rochowicka woda,Q11835047
vabalkn,Q11866946
upyt,Q11878891
nokianvirta,Q11884684
veverka,Q11891296
aue (rebbe),Q11907207
barranc fondo (sant esteve de la sarga),Q11908238
barranc d'arguinsola,Q11908242
barranc d'arinyolo,Q11908244
barranc d'enserola,Q11908245
barranc de baixera,Q11908253
barranc de beniure,Q11908257
barranc de carboners,Q11908270
barranc de collmorter,Q11908275
barranc de comellar,Q11908278
barranc de coma palomera,Q11908276
barranc de coll d'estessa,Q11908277
barranc de cordillans,Q11908283
barranc de confs,Q11908280
barranc de costa cardiguera,Q11908286
barranc de font d'obac,Q11908287
barranc de fontallaus,Q11908290
barranc de fontlled,Q11908291
barranc de francol,Q11908294
barranc de gula,Q11908298
barranc de guixers,Q11908299
barranc de joan mai,Q11908300
barranc de lloriguer,Q11908307
barranc de llabro,Q11908304
barranc de monteguida,Q11908315
barranc de mas de guillem,Q11908313
barranc de moror,Q11908318
barranc de pla mi,Q11908324
barranc de puimanyons,Q11908325
barranc de rius,Q11908330
barranc de rastany,Q11908328
barranc de riass,Q11908329
barranc de roca (gavet),Q11908332
barranc de rubiol,Q11908333
barranc de sant gens,Q11908338
barranc de sant mart (claverol),Q11908339
barranc de sant joan (senterada),Q11908342
barranc de sant gregori,Q11908340
barranc de sant bartomeu (senterada),Q11908341
barranc de serra espina,Q11908347
barranc de santa ceclia (torallola),Q11908345
barranc de torrentguixers,Q11908353
barranc de vilanova (sensui),Q11908359
barranc de viv,Q11908360
barranc de l'hort nou,Q11908367
barranc de l'escalella,Q11908365
barranc de l'obaga gran,Q11908371
barranc de la carbonera (sant esteve de la sarga),Q11908378
barranc de la censada,Q11908379
barranc de la canal de la rama,Q11908377
