Name,ID
beijing,Q956
beiping,Q956
peiping,Q956
peking,Q956
yanjing,Q956
khanbaliq,Q956
bj,Q956
zhongdu,Q956
shanghai; china,Q8686
hu,Q8686
shanghai,Q8686
shang hai,Q8686
chunking,Q11725
chongqing municipality,Q11725
chongqing,Q11725
kiangsu,Q16963
jiangsu,Q16963
zhejiang province,Q16967
zhejiang,Q16967
chekiang,Q16967
szechuan,Q19770
sichuan,Q19770
szechwan,Q19770
hebei,Q21208
hopeh,Q21208
municipality of tianjin,Q11736
tientsin,Q11736
tianjin,Q11736
tianjin municipality,Q11736
kwangtung,Q15175
canton,Q15175
guangdong,Q15175
nanking,Q16666
nan jing,Q16666
nanjing,Q16666
nankin,Q16666
shantung,Q43407
shandong,Q43407
liaoning,Q43934
fengtian,Q43934
liaoning province,Q43934
honan,Q43684
henan,Q43684
hubei province,Q46862
hubei,Q46862
taiwan province; people's republic of china,Q57251
taiwan province,Q57251
heilongjiang,Q19206
anhui,Q40956
fujian,Q41705
hainan,Q42200
gansu,Q42392
songjiang province,Q11531694
yunnan,Q43194
jilin,Q45208
hunan,Q45761
qinghai,Q45833
shanxi,Q46913
guizhou,Q47097
shaanxi,Q47974
jiangxi,Q57052
