Name,ID
almanzora,Q18041
rio almanzora,Q18041
tabasco river,Q27035
grijalva river,Q27035
mezcalapa river,Q27035
ro chiapa,Q27035
murray-darling basin,Q534290
murraydarling basin,Q534290
chad river basin,Q575245
chad basin,Q575245
chad lake basin,Q575245
lake chad basin,Q575245
souss,Q3055244
sousse,Q3055244
sous,Q3055244
sus,Q3055244
suss,Q3055244
tyresn drainage basin,Q4993045
tyresn lake system,Q4993045
great lakes watershed,Q5599423
great lakes basin,Q5599423
great lakes drainage basin,Q5599423
klamath river basin,Q6419627
klamath basin,Q6419627
lake erie basin,Q6475771
lake erie watershed,Q6475771
lake erie drainage basin,Q6475771
niger basin,Q6643992
list of tributaries of the niger,Q6643992
umpqua river basin,Q7881770
umpqua basin,Q7881770
yadkinpee dee river basin,Q8046572
pee dee river basin,Q8046572
mezcala river,Q1129218
balsas river,Q1129218
atoyac river,Q1129218
drangedalsvassdraget,Q1292642
tokevassdraget,Q1292642
kragervassdraget,Q1292642
rhine basin,Q1434368
telemarksvassdraget,Q2033423
skiensvassdraget,Q2033423
ro de la plata basin,Q2362283
rio de la plata basin,Q2362283
ob basin,Q2887503
ob basin (kara sea),Q2887503
orinoco basin,Q2887518
shatt al-arab,Q166966
tarim basin,Q216622
amazon basin,Q244451
turpan depression,Q284780
abe river,Q318136
mackenzie basin,Q495609
western plateau,Q604846
arendalsvassdraget,Q641834
great divide basin,Q675012
ubsunur hollow,Q739065
qattara depression,Q841050
congo basin,Q932289
nea-nidelvvassdraget,Q1144517
drammensvassdraget,Q1255748
jeetze drainage system,Q1434369
haldenvassdraget,Q1570775
hallingdalsvassdraget,Q1571746
kiskonjoki-perninjoki basin,Q1743727
maracaibo basin,Q1996660
meuse basin,Q2485172
drainage basin of the torne,Q2559379
toshka lakes,Q2601819
harney basin,Q2887483
mono basin,Q2887484
yenisei basin,Q2887499
irtysh basin,Q2887502
garonne basin,Q2887506
loire basin,Q2887510
lena basin,Q2887511
khatanga river basin,Q2887508
seine basin,Q2887515
neva basin,Q2887512
somme basin,Q2887516
vilaine basin,Q2887517
vistula basin,Q2887520
dnieper basin,Q2887540
nile basin,Q2887548
po basin,Q2887549
titicaca basin,Q2887559
lake eyre basin,Q2887556
dordogne basin,Q2887573
scheldt basin,Q2887577
drainage bassin of the ijzer river,Q2996235
kagghamran lake system,Q3361344
polimlje,Q3658876
ufita valley,Q4008162
volga basin,Q4079154
alta-kautokeinovassdraget,Q4352559
acf river basin,Q4650650
adriatic basin,Q4685613
australian north-east coast drainage division,Q4825064
australian south-east coast drainage division,Q4825223
barwon catchment victoria,Q4865982
bulloo-bancannia drainage basin,Q4997005
choluteca river basin,Q5104404
colorado drainage basins,Q5148994
ganges basin,Q5521121
jcar basin,Q5793715
guadiana river basin,Q5793713
tagus basin,Q5793719
gran bajo del gualicho,Q5884242
hudson river watershed,Q5928876
tularosa basin,Q6142153
limari basin,Q6159114
llanos el salado,Q6661693
nemaha river basin,Q6990908
okavango basin,Q7081843
parting of the waters,Q7140601
river sinos basin,Q7337811
south australian gulf drainage division,Q7566166
southwest corner of western australia,Q7571383
tampa bay watershed,Q7681700
sea of azov drainage basin,Q8115676
north sea basin,Q8238745
amur basin,Q8240299
douro basin,Q8352402
ebro basin,Q8352403
waitaki river basin,Q8956877
parsty basin,Q9210292
oder basin,Q9210293
wieprza basin,Q9210297
araguaia-tocantins basin,Q9642943
doce river basin,Q9642963
so francisco river basin,Q9642983
van lake system,Q10727017
baltic sea basin,Q11086709
molandsvassdraget,Q11253956
class b river,Q11371756
ohmi basin,Q11638508
rega basin,Q11694899
kiiminkijoki basin,Q11871370
kokemenjoki basin,Q11872140
kyrnjoki basin,Q11874020
tuloma basin,Q11898913
breimsvassdraget,Q11962184
herrevassdraget,Q11975222
losbyvassdraget,Q11986804
nordmarksvassdraget,Q11991880
numedalsvassdraget,Q11992744
randsfjordvassdraget,Q11997106
sandviksvassdraget,Q11999485
soknavassdraget,Q12001763
danube basin,Q12046593
morava basin,Q12046599
elbe basin,Q12046596
vltava basin,Q12046607
ohe basin,Q12046605
black sea basin,Q12299139
orklavassdraget,Q12717547
vh basin,Q12774312
neman basin,Q13370189
chao phraya basin,Q14210889
danakil depression,Q14213070
salar de tara,Q14540976
zambezi basin,Q14594747
taunton river watershed,Q14715877
elk river chain of lakes watershed,Q14716098
hudson bay drainage basin,Q14874626
okanagan basin,Q14874733
yangtze river basin,Q15758768
pranhitagodavari basin,Q17083685
bergsjvassdraget,Q17750255
dokkavassdraget,Q17766791
flmsvassdraget,Q17772914
shannon river basin,Q18357574
bacia do rio descoberto,Q18499568
eurajoki basin,Q18658755
oulujoki basin,Q18691341
henavassdraget,Q19370894
kollsjvassdraget,Q19370917
mesnavassdraget,Q19370954
mossevassdraget,Q19370959
glommavassdraget,Q19370970
skjrdalsvassdraget,Q19371011
stigselvvassdraget,Q19371028
sulitjelmavassdraget,Q19371056
trysilvassdraget,Q19393399
bergsfjorden basin,Q19397590
vegrvassdraget,Q19397667
eikerenvassdraget,Q20112185
trollavassdraget,Q20113162
drevjavassdraget,Q20552568
rgrdsvassdraget,Q20750256
saudavassdraget,Q20752839
tafjordvassdraget,Q20754739
san luis closed basin,Q20858291
sagelvvassdraget,Q21403150
botnvassdraget,Q21446479
assal depression,Q22345593
estero tongoy,Q22439089
quebrada vitor,Q22643370
brda basin,Q22666716
nesheimvassdraget,Q23042277
dirdalsvassdraget,Q23042696
fagerbakkvassdraget,Q23042775
follavassdraget,Q23042853
fortunsvassdraget,Q23042869
gjerstadvassdraget,Q23042945
ro exploradores,Q23644965
liervassdraget,Q23893997
araripe basin,Q25059170
mlselvvassdraget,Q25425173
skaudalsvassdraget,Q25426346
moldelvvassdraget,Q25426351
hundlavassdraget,Q25426357
sundsfjordvassdraget,Q25426362
rdalsvassdraget,Q25438624
ottawa river drainage basin,Q28163348
yukon river basin,Q28186695
bacia do rio de contas,Q28679788
sozh basin,Q28920951
weser basin,Q29017011
ems basin,Q29017013
grimseidvassdraget,Q31078694
neckar basin,Q31837222
moselle basin,Q31837223
eastman brook,Q34738872
hamun-i-mashkel catchment area,Q37512550
hamoun helmand catchment area,Q37512611
kaczawa basin,Q38084581
colorado river basin,Q46126990
salmon river basin,Q46615070
brazos river basin,Q47145063
lapuanjoki basin,Q49621334
iijoki basin,Q49986255
kemijoki basin,Q49990054
ntm river basin,Q49990526
paatsjoki basin,Q49990602
perhonjoki basin,Q49990822
simojoki basin,Q49991205
batiscanie,Q50419786
guadalupe river basin,Q52555092
blue eye; theth,Q56124244
central desert basin,Q56358674
hamun-e jaz murian catchment area,Q56358817
vehkajoki basin,Q56400734
koskenkylnjoki basin,Q56400746
uskelanjoki basin,Q56400766
kalajoki basin,Q56400804
pyhjoki basin,Q56400805
siikajoki basin,Q56400815
kuivajoki basin,Q56400823
enningdalslven basin,Q58528329
fustavassdraget,Q58798300
maipo basin,Q60666778
biobio basin,Q61743853
aconcagua basin,Q61743873
imperial basin,Q61744006
maule basin,Q61744057
bueno basin,Q61744144
lluta basin,Q61744172
camarones basin,Q61744203
copiapo basin,Q64024152
baker basin,Q64348270
neretva basin,Q64949389
yelcho basin,Q65016559
rapel basin,Q65159779
itata basin,Q65160393
huasco basin,Q65561091
mataquito basin,Q65640390
loa basin,Q65769005
serrano basin,Q65949791
elqui basin,Q66299748
choapa basin,Q66370977
tolten basin,Q66439778
valdivia basin,Q66556162
cuanza basin,Q66838979
paicavi basin,Q67019539
la ligua basin,Q67123653
cisnes basin,Q67196958
salar de atacama basin,Q72570989
palena basin,Q73512565
pascua basin,Q74846422
narcea river,Q14520
euphrates,Q34589
bay of bengal,Q38684
salar del huasco,Q20022191
