Name,ID
lake ontario,Q1062
ontario,Q1062
pei huo-pu-hsn lake,Q10904106
north huobuxun lake,Q10904106
beihuobuxun lake,Q10904106
north hulsan lake,Q10904106
bei huobuxun lake,Q10904106
pei-huo-pu-hsn lake,Q10904106
pei-huo-pu-hsn hu,Q10904106
north hulsan hu,Q10904106
north holuhsn hu,Q10904106
bei huobuxun hu,Q10904106
pei holuhsn hu,Q10904106
north hollusun nor,Q10904106
bei hulsan lake,Q10904106
pei huo-pu-hsn hu,Q10904106
beihuobuxun hu,Q10904106
nanhuoluxun hu,Q10909303
south hollusun lake,Q10909303
south hulsan lake,Q10909303
nanhuoluxun lake,Q10909303
nan-huo-pu-hsn lake,Q10909303
south hollusun nor,Q10909303
nanhuobuxun hu,Q10909303
nan huo-pu-hsn hu,Q10909303
nan huobuxun lake,Q10909303
nanhuobusun hu,Q10909303
south huobusun lake,Q10909303
nan holuhsn hu,Q10909303
nanhuobusun lake,Q10909303
nanhuobuxun lake,Q10909303
nan huoluxun lake,Q10909303
nanhuoluxun,Q10909303
south holuhsn hu,Q10909303
south huo-pu-hsn lake,Q10909303
south huobuxun lake,Q10909303
nan huo-pu-hsn lake,Q10909303
nan huobusun hu,Q10909303
south huoluxun lake,Q10909303
huobusun hu,Q10909303
south huo-lu-hsn lake,Q10909303
nanhuobusun,Q10909303
nanhuobuxun,Q10909303
nan huobusun lake,Q10909303
nan-huo-lu-hsn hu,Q10909303
nan-huo-lu-hsn lake,Q10909303
nan huo-lu-hsn hu,Q10909303
nan huo-lu-hsn lake,Q10909303
nan-huo-pu-hsn hu,Q10909303
nan hulsan lake,Q10909303
nan huobuxun hu,Q10909303
huobusun lake,Q10909303
nan hulsan hu,Q10909303
larsmosjn,Q10554509
luodonjrvi,Q10554509
lepinjrvi,Q10572343
lpptrsket,Q10572343
vanhankyln pitkjrvi,Q10572693
kaukajrvi,Q10572693
pitkjrvi,Q10572693
gopo,Q1012060
jezioro gopo,Q1012060
vaya,Q1014783
lake burgas,Q1014783
blling lake,Q1020215
bllings,Q1020215
wilkinkarra,Q1074063
lake mackay,Q1074063
'chiuta,Q1075037
lake chiuta,Q1075037
represa de itaip,Q10315670
itaipu reservoir,Q10315670
itaipu lake,Q10315670
lagoa marcelino ramos,Q10315702
lagoa do marcelino,Q10315702
bordalsvatn,Q10959675
borddalsvatn,Q10959675
chamo hayk,Q1060962
lake chamo,Q1060962
karakul lake,Q1071180
karakul,Q1071180
lago di posta fibreno,Q1001156
buffalo lake,Q1002029
owschlager see,Q1002330
bugker see,Q1002515
lake buhi,Q1002637
bullaresjarna,Q1004195
bullowsee,Q1004552
bully pool,Q1004600
lake garancsi,Q1008256
lake bunyonyi,Q1010056
lake burdur,Q1010475
lough gill,Q1010499
burger binnensee,Q1014884
burgsee,Q1015634
lake burtnieks,Q1017107
butterfly lake,Q1018096
buttermere,Q1018122
buttersee,Q1018142
butzensee,Q1018240
bygdetrsket,Q1018507
bygdin,Q1018512
teragaike,Q1018718
bven,Q1019336
brtnen,Q1020053
lake tejstymy,Q1020135
btzsee,Q1020184
bltsee,Q1020737
btzower see,Q1021866
lake bykekmece,Q1021881
caarpsee,Q1024674
calbine pool,Q1026299
lago di caldonazzo,Q1026494
nin kozie pleso,Q1027404
cameron lake,Q1028764
red lake,Q1029508
camminer see,Q1029644
rthsee,Q1029828
tso kar,Q1030718
laguna negra; rocha,Q1031618
lake hiawatha,Q1031742
lake gts,Q1031860
canandaigua lake,Q1032768
canelles reservoir,Q1033116
cangan pool,Q1033161
canower see,Q1033621
caputher see,Q1035215
carawine pool,Q1035446
lake ogawara,Q1037216
carleecarleethong pool,Q1041592
carpiner see,Q1044755
carrowmore lake,Q1045261
carwitzer see,Q1046203
castle rock lake,Q1049490
castle semple loch,Q1049507
cattle pool,Q1051341
lake szelid,Q1051426
lake upemba,Q1051621
lago di cavazzo,Q1051808
cedar lake,Q1052509
cedar lake,Q1052532
lago di cei,Q1052694
lake way,Q1053640
cerros colorados complex,Q1056184
zabuye lake,Q1058308
lago di pilato,Q1059016
lake minnetonka,Q1060288
champagne pool,Q1061092
chao lake,Q1062495
khar lake,Q1062882
charbanoo pool,Q1063041
