Name,ID
yukon river,Q104437
isar,Q106588
plaine,Q1000027
little murray river,Q1000169
varzina river,Q1000673
pulverbach,Q1000989
fino,Q1001567
bulgobac river,Q1004064
bullengraben,Q1004260
bullo river,Q1004511
bundara river,Q1005340
bhilangna river,Q1006420
rapido,Q1008341
turka,Q1009177
bundey river,Q1009330
buolkalakh,Q1010110
gier,Q1010411
burdekin river,Q1010448
gimone,Q1010532
bure river,Q1010615
burgdorfer aue,Q1014821
burge,Q1014826
burke river,Q1016376
burla,Q1016593
burnett river,Q1016767
burnside river,Q1016839
burnt river,Q1016855
buron river,Q1016866
burraubach,Q1016899
burrungubugge river,Q1016941
busyazh,Q1017632
bussento,Q1017698
buzuluk,Q1017804
butzerbach,Q1018246
bynoe river,Q1018550
byske river,Q1018650
bystrzyca,Q1018675
bystrzyca dusznicka,Q1018673
brenbach,Q1019069
bez,Q1019347
blkau,Q1019845
bsbach,Q1020059
bse sieben,Q1020080
brselva,Q1020247
bbbenser tief,Q1020280
bchelbach (bieber),Q1020303
bchelbach,Q1020306
bckener mhlenbach,Q1020435
bsein river,Q1020528
abamza,Q1020533
brgerbuschbach,Q1021068
beznice,Q1022168
cadagua,Q1025074
cagayan river,Q1025710
cailly,Q1025870
calawah river,Q1026290
calder river,Q1026429
caledonia river,Q1026573
calliope river,Q1027308
calnegia,Q1027378
vakunayka,Q1027585
ulakhan-botuobuya,Q1027694
cam river,Q1027920
gravina di matera,Q1028001
gueyze,Q1028539
cameron creek,Q1028707
cameron river,Q1028794
cameron river,Q1028797
camfield river,Q1028856
sungei serangoon,Q1028868
moloma river,Q1029502
dasht river,Q1030262
campaspe river,Q1030318
kleine tulln,Q1030969
nitsa river,Q1031029
camsell river,Q1031730
canal de l'aqueduc,Q1032604
qashqadaryo river,Q1032649
surxondaryo river,Q1032654
rapel river,Q1032656
cance,Q1032867
canche,Q1032916
khanda,Q1032991
notora,Q1033041
tatta,Q1033133
millers river,Q1033209
canne,Q1033378
canne,Q1033377
canner,Q1033384
canning river,Q1033410
cannobino,Q1033428
cannon river,Q1033463
cannonball river,Q1033473
canut,Q1033938
canut de renac,Q1033939
kharkiv river,Q1033990
cape fear river,Q1034421
cape river,Q1034481
capertee river,Q1034560
carbk,Q1035571
cardrona river,Q1035787
carey river,Q1035949
hnyla lypa,Q1037150
scott river,Q1041053
molonglo river,Q1041876
big black river,Q1042217
river dee,Q1043657
carmichael river,Q1043765
i river,Q1044017
carron river,Q1045214
gan river,Q1046685
casaluna,Q1046775
orne,Q1047027
asa river,Q1047502
shelon river,Q1047568
samara river,Q1047677
waikato river,Q1048219
river nore,Q1048506
ruo shui,Q1048648
waiau river (southland),Q1048696
castellane,Q1048713
kodori river,Q1048890
marcal,Q1048901
castlereagh river,Q1049660
castray river,Q1049805
kazmash,Q1049850
sprea,Q1050201
cataract river,Q1050389
ubort river,Q1050400
catawba river,Q1050460
catlins river,Q1051206
catubig river,Q1051349
caudal,Q1051446
cecina,Q1052464
cedar river,Q1052529
cederbach,Q1052568
celle,Q1053001
cells river,Q1053084
ceno,Q1053410
upper angara river,Q1054311
st. clair river,Q1054325
hortobgy-beretty,Q1055280
liro,Q1056083
cerveyrette,Q1056443
aley river,Q1057823
ceyhan river,Q1057961
merse,Q1058266
chagrin river,Q1058823
chalaux,Q1059439
chalaronne,Q1059444
arauca river,Q1059928
chambal river,Q1060631
chamberonne,Q1060663
chamberlain river,Q1060661
chambers river,Q1060673
saigon river,Q1060805
ishikari river,Q1061515
verdura,Q1061674
chandler river,Q1061726
changjin-gang,Q1062046
khantayka river,Q1062388
chapeauroux,Q1062661
chapman river,Q1062750
techa river,Q1062895
tama river,Q1063006
rapidan river,Q1063025
charentonne,Q1063124
pliva,Q1063794
vym river,Q1065265
charles river,Q1065913
topa,Q1066352
charley river,Q1066756
sitnica,Q1066857
chassezac,Q1068099
chagoda river,Q1068502
maly kundysh river,Q1068510
chavanon,Q1068523
cheat river,Q1068697
chelan river,Q1069034
kazim river,Q1069509
chena river,Q1069837
chetwynd river,Q1070859
mercoire,Q1071427
khorol river,Q1076536
khrami river,Q1076875
naka river,Q1076983
hori river,Q1080130
christian river,Q1081598
lohit river,Q1083286
mobile river,Q1084490
meduna,Q1085682
rjeina,Q1086646
vieu river,Q1086649
brague,Q1087647
adaykomdon,Q1087904
zakka,Q1087928
arkhondon,Q1087975
lesken,Q1087993
spirtovka river,Q1088182
anti-payutayakha,Q1088188
sada,Q1088221
russkaya,Q1088257
sulm,Q1088270
akhtyr',Q1088274
yurka,Q1088284
chura,Q1088292
yasnovka,Q1088299
bakanka,Q1088306
baydarata,Q1088310
chrudimka,Q1088409
crasna river,Q1088466
rimava,Q1088686
chulitna river,Q1089418
yum,Q1089840
avlashka,Q1089976
dyul'dina,Q1089998
malaya irnya,Q1090031
chessu,Q1071581
bezeps,Q1071586
chiascio,Q1071692
donskaya tsaritsa,Q1071831
bisarka,Q1071836
tel'bes,Q1071857
baygol,Q1071912
bolshaya gorevaya river,Q1071920
bolshoy ashap river,Q1071926
bol'shaya volchanka,Q1071933
bolshoy lip river,Q1071942
bizyarka river,Q1071947
bartym river,Q1071952
asovka river,Q1071956
kuara river,Q1071963
molyobka river,Q1071968
maly lip river,Q1071973
byrma river,Q1071987
maly ashap river,Q1072004
vogulka river,Q1072011
platoshinka river,Q1072023
psebeps,Q1072027
gechepsin,Q1072037
kalaly,Q1072048
kelermes,Q1072054
sungur,Q1072068
kyrykmas,Q1072119
lyuk,Q1072127
mostovinka,Q1072135
chickahominy river,Q1072150
kul'ma,Q1072154
selychka,Q1072162
chickasawhay river,Q1072169
icha,Q1072184
kurmakash river,Q1072189
klyuchyovka river,Q1072196
lekma,Q1072245
karal'ka,Q1072309
turka river,Q1072321
savlek river,Q1072351
bisert',Q1072358
solyanka river,Q1072374
karataly-ayat,Q1072381
teles river,Q1072394
usekay river,Q1072416
sova river,Q1072425
bymok river,Q1072435
sukhobizyarka river,Q1072445
turysh river,Q1072454
kormilovka river,Q1072468
varka-sylky,Q1072474
uyas river,Q1072481
yelymovka river,Q1072495
belaya kedva,Q1072505
goryun,Q1072515
amnya,Q1072523
salmysh,Q1072534
neritsa,Q1072542
chilikadrotna river,Q1072928
khilok river,Q1073024
ubyt',Q1073178
daxia river,Q1074179
vipava,Q1074370
risle,Q1074385
chipman river,Q1074554
chisana river,Q1074816
chistochina river,Q1074843
chisone,Q1074849
chitanana river,Q1074880
chitina river,Q1074901
uchur river,Q1074914
chiuvone,Q1075031
ponoy river,Q1075070
niva river,Q1075158
someul mic river,Q1075168
save,Q1075373
dadu river,Q1075393
sittaung river,Q1075555
usen',Q1075803
chomutovka,Q1076019
tanalyk river,Q1076332
temernik river,Q1076353
ponor river,Q1076370
kozim,Q1090127
lolog,Q1090246
utva river,Q1090271
kolodezyanka,Q1090301
neopol',Q1090381
lunym,Q1090417
sypan river,Q1090429
karinka,Q1090455
yancher,Q1090488
kondas,Q1090565
maly kub river,Q1090693
yamzhach river,Q1090699
vizhaikha river,Q1090713
posmak river,Q1090726
nyuzim river,Q1090734
bolshaya vaya river,Q1090740
bol'shaya usolka,Q1090756
malaya burnka,Q1091098
borbera,Q1091202
sher-kuva,Q1091246
severnyy churan,Q1091305
kiz'va,Q1091322
shumyshka,Q1091365
inysh,Q1091377
ciane,Q1091382
lemzer,Q1091492
kalta river,Q1091598
savaleyevka,Q1091666
nyar,Q1091753
cidlina,Q1091758
usolka river,Q1091823
vuosnayoki river,Q1091838
polazinsky vozh,Q1091978
pozhva,Q1092003
but',Q1092036
cimarron river,Q1092043
cimarron river,Q1092055
vakhrinka,Q1092068
melekeska,Q1092101
shestaya,Q1092109
goryukhalka,Q1092117
kuva,Q1092125
verkhniy chermoz,Q1092131
sumych,Q1092198
kizilovka,Q1092389
bugulda,Q1092420
lytva,Q1092451
vurlam,Q1092640
yus'va,Q1092674
bol'shaya polomka,Q1092713
kuryksarka,Q1092807
amzya,Q1092823
shoshma river,Q1092884
noncello,Q1092903
zycha,Q1092936
sir'ya,Q1092994
cirocha,Q1093095
ursala,Q1093111
pisanka river,Q1093122
ayya river,Q1093132
pelya river,Q1093145
badiya river,Q1093158
kad river,Q1093170
chural river,Q1093176
lel river,Q1093185
river cisse,Q1093242
bolshaya lyampa,Q1093252
parok river,Q1093256
vizyakha river,Q1093281
maly chabes river,Q1093289
chermoz,Q1093341
bygel',Q1093481
istok,Q1093513
pismyanka,Q1093519
rossosh',Q1093557
yelovka,Q1093582
tuntor,Q1093631
sredniy toguzak,Q1093745
travyanka river,Q1093791
porysh,Q1093959
burdinka,Q1094011
rossoshka,Q1094260
kallang river,Q1094417
lytka,Q1094462
lava,Q1094469
malaya sol river,Q1094525
bolshoy chabes river,Q1094534
soana,Q1094551
razvilka,Q1094549
claie,Q1094713
yankul',Q1094780
salat,Q1094808
claise,Q1094861
clamoux,Q1094887
chechera,Q1094984
seryak,Q1094992
kym,Q1094999
biklyan',Q1094997
kiankiz,Q1095062
kutamysh,Q1095173
lopan,Q1095206
lolym,Q1095221
clara river,Q1095232
uymuzh,Q1095326
burnka,Q1095422
myy,Q1095447
kos'va,Q1095465
malyy tuy,Q1095472
shabiz,Q1095480
onolva,Q1095495
clarence river,Q1095503
bol'shaya usa,Q1095528
sarapala,Q1095642
czarna hacza,Q1095661
