Name,ID
maine,Q724
me,Q724
new hampshire,Q759
nh,Q759
california,Q99
ca,Q99
al,Q173
alabama,Q173
ma,Q771
massachusetts,Q771
connecticut,Q779
ct,Q779
hawaii,Q782
hi,Q782
ak,Q797
alaska,Q797
florida,Q812
fl,Q812
north dakota,Q1207
nd,Q1207
nodak,Q1207
n dakota,Q1207
sodak,Q1211
south dakota,Q1211
sd,Q1211
s dakota,Q1211
wy,Q1214
wyoming,Q1214
mt,Q1212
montana,Q1212
arizona,Q816
az,Q816
or,Q824
oregon,Q824
utah,Q829
ut,Q829
michigan,Q1166
mi,Q1166
il,Q1204
illinois,Q1204
washington,Q1223
wa,Q1223
id,Q1221
idaho,Q1221
nevada,Q1227
nv,Q1227
co,Q1261
colorado,Q1261
virginia,Q1370
va,Q1370
ri,Q1387
rhode island,Q1387
maryland,Q1391
md,Q1391
delaware,Q1393
de,Q1393
ohio,Q1397
oh,Q1397
pennsylvania,Q1400
pa,Q1400
wv,Q1371
west virginia,Q1371
new york,Q1384
nys,Q1384
ny,Q1384
new jersey,Q1408
nj,Q1408
in,Q1415
indiana,Q1415
ga,Q1428
georgia,Q1428
tx,Q1439
texas,Q1439
north carolina,Q1454
nc,Q1454
south carolina,Q1456
sc,Q1456
mississippi,Q1494
ms,Q1494
tennessee,Q1509
tn,Q1509
new mexico,Q1522
nm,Q1522
minnesota,Q1527
mn,Q1527
wisconsin,Q1537
wi,Q1537
iowa,Q1546
ia,Q1546
nebraska,Q1553
ne,Q1553
ks,Q1558
mo,Q1581
missouri,Q1581
louisiana,Q1588
la,Q1588
ky,Q1603
kentucky,Q1603
arkansas,Q1612
ar,Q1612
ok,Q1649
oklahoma,Q1649
vermont,Q16551
vt,Q16551
